Longitude;Latitude;DEPART;Predicted Geothermal Gradient (C/Km)
-72.20833064;11.60351476;LA GUAJIRA;34.075018
-74.76102105;-0.004275279;PUTUMAYO;34.85037
-73.71259047;9.767679698;CESAR;37.85467
-74.49887912;5.450252807;CUNDINAMARCA;31.852129
-75.36951996;8.463520724;CORDOBA;26.269354
-75.73672324;2.104169006;HUILA;35.472174
-74.95709489;4.732225168;TOLIMA;30.766989
-76.05276918;8.551555304;CORDOBA;29.5497
-74.64613367;10.91120834;MAGDALENA;29.625206
-74.86472324;4.794868683;TOLIMA;28.155352
-75.58638152;9.862453815;SUCRE;34.088854
-73.80828485;8.441030031;BOLIVAR;25.089643
-72.73119696;4.251393818;META;26.39855
-75.64728365;9.417844955;SUCRE;29.500292
-75.59116957;1.837456692;CAQUETA;34.133837
-76.85389456;6.690713407;ANTIOQUIA;27.10886
-72.84627127;10.85055641;LA GUAJIRA;35.052061
-75.69721551;3.262934032;TOLIMA;36.38002
-73.70991229;9.005054717;CESAR;30.463732
-75.23069454;8.908090075;CORDOBA;26.374947
-76.27699162;4.395278961;VALLE DEL CAUCA;28.939844
-74.76958445;9.38560415;BOLIVAR;30.464584
-74.93547093;9.151760269;SUCRE;28.154325
-75.86225186;6.973272785;ANTIOQUIA;31.757978
-71.40270674;6.487013065;ARAUCA;28.450514
-74.69784031;10.49931585;MAGDALENA;30.062323
-72.7644672;7.309781198;NORTE DE SANTANDER;33.302034
-74.61861404;7.797198506;ANTIOQUIA;31.148134
-73.88710638;10.53789932;CESAR;37.038153
-74.80754231;10.38633109;ATLANTICO;31.18928
-74.82989176;9.911058954;BOLIVAR;24.877357
-74.9029606;7.40966489;ANTIOQUIA;27.85729
-71.69774502;12.17018964;LA GUAJIRA;32.70093
-74.88945233;10.87448172;ATLANTICO;30.976328
-78.56120576;1.764501484;NARINIO;23.996689
-75.90652731;8.931943957;CORDOBA;28.985792
-74.37408186;6.409025423;SANTANDER;23.529388
-73.94854837;7.723201046;BOLIVAR;31.817942
-72.99508888;6.702281313;SANTANDER;31.504042
-69.51609382;-1.085160007;AMAZONAS;39.92816
-75.0132816;2.91118459;HUILA;42.54545
-76.96165408;2.396267715;CAUCA;39.555075
-72.8406085;8.005512912;NORTE DE SANTANDER;32.188147
-75.24579775;7.489120874;ANTIOQUIA;27.971523
-72.18580515;11.29528897;LA GUAJIRA;22.83114
-73.60136957;5.067343253;CUNDINAMARCA;39.899582
-74.32236926;4.789110463;CUNDINAMARCA;32.123564
-75.33209464;1.530531374;CAQUETA;37.530443
-70.92971468;5.016987141;CASANARE;31.715937
-72.52237109;7.721553002;NORTE DE SANTANDER;28.561739
-77.33268572;3.329727092;VALLE DEL CAUCA;28.549
-75.29973319;2.885456634;HUILA;29.876776
-75.65397473;5.98795461;ANTIOQUIA;40.86026
-73.61227715;10.98978336;CESAR;25.772589
-75.15103777;4.488946937;TOLIMA;35.772902
-73.43044278;3.75826956;META;31.05824
-73.99216129;6.649820846;SANTANDER;26.373667
-75.84899875;5.363229418;RISARALDA;39.751436
-73.30653236;8.432013;CESAR;34.004786
-75.05656365;8.964759166;SUCRE;26.41953
-76.26693997;3.181178194;CAUCA;35.360159
-77.04434103;1.461784306;NARINIO;43.02411
-78.27372436;1.658896959;NARINIO;31.600143
-75.53371477;4.873948123;RISARALDA;32.636442
-73.56023257;6.364002321;SANTANDER;30.765749
-77.16992077;1.924615109;CAUCA;38.564516
-76.27488282;4.597990467;VALLE DEL CAUCA;30.408403
-73.98675309;9.964176794;MAGDALENA;32.227304
-73.32116098;3.250035734;META;32.555006
-74.98405119;7.803349148;ANTIOQUIA;26.191603
-72.0729771;12.10602226;LA GUAJIRA;27.75905
-73.40275238;7.867550101;CESAR;34.341742
-75.68490925;8.043379536;CORDOBA;32.586718
-72.90054669;10.65880914;LA GUAJIRA;31.525723
-73.26573716;5.757089555;BOYACA;33.840696
-75.83032608;4.737275776;RISARALDA;32.40465
-74.75612866;5.376157229;CALDAS;31.625965
-76.29847744;8.122799028;CORDOBA;33.148138
-70.31618536;-3.347579244;AMAZONAS;38.867447
-71.08939955;6.944587553;ARAUCA;32.158625
-74.93317958;4.654362902;TOLIMA;33.852633
-72.20545715;6.048577562;CASANARE;33.710585
-73.60235574;9.932865445;CESAR;35.834558
-74.75653808;10.76044419;ATLANTICO;27.331442
-78.07794818;1.991491895;NARINIO;27.911777
-72.88303802;6.981587022;SANTANDER;32.578012
-76.72498348;1.864671717;CAUCA;37.76388
-75.42932328;3.143445115;HUILA;35.233236
-75.55797499;5.430944259;CALDAS;28.47373
-71.83212802;6.884808873;ARAUCA;24.812765
-73.96854291;6.12334367;SANTANDER;41.44745
-74.20974565;9.838860287;MAGDALENA;32.235296
-72.95257615;6.802522453;SANTANDER;31.241503
-75.69869257;3.32512815;TOLIMA;34.122107
-70.96428364;-0.290259982;AMAZONAS;39.058136
-75.76674953;9.140437748;CORDOBA;25.906404
-70.22499199;1.208536041;VAUPES;32.842611
-73.04896777;5.012940529;BOYACA;31.057993
-72.70942269;8.682231569;NORTE DE SANTANDER;33.543966
-74.09206813;9.378095149;MAGDALENA;26.433357
-76.18015705;8.283174868;CORDOBA;23.955856
-72.13572564;12.05320083;LA GUAJIRA;30.1521
-75.99153175;4.295549059;VALLE DEL CAUCA;30.573442
-75.82121072;0.113699865;PUTUMAYO;34.250544
-74.29171634;10.7891684;MAGDALENA;28.074495
-73.16827031;4.35705537;META;24.464869
-75.89058606;2.596647802;HUILA;31.027712
-75.20094238;6.829987116;ANTIOQUIA;33.81141
-74.50340093;4.912497236;CUNDINAMARCA;37.00457
-75.80864033;8.855953971;CORDOBA;31.481249
-75.55926815;9.548618803;SUCRE;29.679234
-76.28411819;3.210787227;CAUCA;37.20053
-73.34410907;4.665487428;CUNDINAMARCA;35.758978
-76.4095602;8.820669231;ANTIOQUIA;36.07656
-73.75923481;7.727504321;SANTANDER;27.88435
-74.45755035;2.292824262;META;31.390837
-74.74157052;9.121035455;BOLIVAR;27.344763
-74.77534008;4.957005553;CUNDINAMARCA;32.812994
-75.96238742;5.463612713;RISARALDA;30.411364
-73.62959487;4.223589119;META;32.700426
-78.52808924;1.36156832;NARINIO;30.47602
-74.07001916;9.935707125;MAGDALENA;35.086603
-76.07423248;4.984585441;VALLE DEL CAUCA;32.04231
-74.20021991;2.399633128;META;35.336725
-70.94463305;-0.459469926;AMAZONAS;43.078598
-74.06801253;10.47714557;MAGDALENA;30.486303
-74.35887133;4.783119282;CUNDINAMARCA;33.717676
-75.86063996;8.119656085;CORDOBA;39.864931
-72.55738476;8.034543074;NORTE DE SANTANDER;27.402033
-73.76530801;10.81469532;CESAR;36.735903
-72.58487856;5.300703439;CASANARE;26.134024
-69.7198158;-2.518217292;AMAZONAS;42.05828
-76.03475693;1.770523385;HUILA;35.851809
-76.12994807;7.054540427;ANTIOQUIA;46.4177
-73.35347656;8.41561585;CESAR;32.981092
-74.08743512;9.938064932;MAGDALENA;36.908522
-76.5431649;3.761303609;VALLE DEL CAUCA;32.86793
-73.07954671;10.0054882;CESAR;35.37822
-76.05067334;8.55506938;CORDOBA;30.090502
-73.82887486;3.056931843;META;40.460707
-73.2490364;10.22133631;CESAR;38.418295
-74.58024648;10.71760006;MAGDALENA;28.924953
-72.65274021;4.216883918;META;32.258486
-74.93008847;6.838967741;ANTIOQUIA;31.264772
-77.12326134;1.123271508;NARINIO;39.83726
-76.22191856;4.889894909;CHOCO;25.90117
-74.97932172;9.419697068;BOLIVAR;28.394495
-74.28059587;7.859251494;BOLIVAR;37.330252
-73.24191673;-1.363874034;AMAZONAS;36.776237
-71.23317497;6.984989153;ARAUCA;29.15999
-74.96592868;10.5904478;ATLANTICO;27.424997
-76.50126755;0.662531423;PUTUMAYO;25.169123
-71.34535649;6.586003734;ARAUCA;33.275873
-74.9181635;5.690610899;CALDAS;32.806429
-72.39737987;5.425271457;CASANARE;26.042578
-75.7819592;8.441890748;CORDOBA;39.1102
-76.43144897;3.617898316;VALLE DEL CAUCA;29.95746
-74.87758726;9.007462785;SUCRE;35.845587
-74.06986114;5.319972848;CUNDINAMARCA;32.54944
-71.94892344;5.230014025;CASANARE;32.297892
-73.92276653;7.835189116;BOLIVAR;32.028975
-74.77869705;0.952102171;CAQUETA;34.167974
-72.52855382;6.468557801;BOYACA;36.981668
-70.22937422;-3.19699189;AMAZONAS;42.156647
-74.48809656;10.70298911;MAGDALENA;27.49143
-71.55333166;4.607998214;META;32.485044
-74.06572214;8.732172048;BOLIVAR;31.504461
-75.56790243;4.628274453;QUINDIO;36.458704
-75.83600457;4.304670741;VALLE DEL CAUCA;27.885038
-73.71243727;9.585640067;CESAR;35.6803
-75.20750564;8.138525638;CORDOBA;30.964336
-76.17808303;4.599622999;VALLE DEL CAUCA;26.718672
-73.9831444;8.511406563;BOLIVAR;28.394682
-74.17307625;4.420325742;BOGOTA D. C.;34.642036
