,Longitude,Latitude,DEPART,Predicted Geothermal Gradient (C/Km)
2485,-74.742367,4.633847,CUNDINAMARCA,24.73291
2486,-74.734886,4.637925,CUNDINAMARCA,24.512627
2487,-76.880524,0.574694,PUTUMAYO,26.14772
2488,-73.575864,7.674511,NORTE DE SANTANDER,18.746147
2489,-73.579092,7.68205,NORTE DE SANTANDER,18.699858
2490,-74.927278,3.860369,TOLIMA,23.018803
2491,-74.591683,5.729919,CUNDINAMARCA,24.593525
2492,-73.516403,7.123386,SANTANDER,18.680063
2493,-73.476344,4.048622,META,24.569359
2494,-76.451378,0.568678,PUTUMAYO,26.195473
2495,-76.468564,0.554622,PUTUMAYO,26.200853
2496,-75.312411,3.829583,TOLIMA,25.92154
2497,-74.665497,4.883975,CUNDINAMARCA,23.648247
2498,-76.583692,0.41995,PUTUMAYO,26.292192
2499,-74.650814,5.045519,CUNDINAMARCA,26.303558
2500,-75.933261,2.080883,HUILA,27.818407
2501,-75.263936,2.983689,HUILA,24.198555
2502,-71.171625,6.914019,ARAUCA,25.0655
2503,-71.079858,5.162636,CASANARE,30.090714
2504,-71.158883,6.940776,ARAUCA,25.309155
2505,-78.520603,2.242222,NARIÑO,26.598862
2506,-74.596614,10.689419,MAGDALENA,19.157232
2507,-73.7031,8.34695,BOLÍVAR,23.77723
2508,-74.207824,9.327979,MAGDALENA,21.086098
2509,-74.690439,9.0146,BOLÍVAR,22.724989
2510,-74.671533,9.007342,BOLÍVAR,22.679882
2511,-74.433914,9.254244,BOLÍVAR,21.690205
2512,-75.276606,3.239333,HUILA,24.895338
2513,-75.285519,3.217831,HUILA,24.992672
2514,-75.176802,2.970037,HUILA,26.366144
2515,-75.19047,2.958343,HUILA,26.528349
2516,-75.181011,2.965439,HUILA,26.476635
2517,-75.190046,2.951329,HUILA,27.146513
2518,-75.198214,2.941687,HUILA,27.434181
2519,-75.194111,2.946867,HUILA,27.411312
2520,-75.183186,2.957096,HUILA,27.140816
2521,-75.19034,2.951261,HUILA,27.147953
2522,-75.193833,2.946783,HUILA,27.409746
2523,-75.19816,2.94175,HUILA,27.431673
2524,-75.205176,2.938111,HUILA,27.290447
2525,-75.197225,2.949122,HUILA,27.426094
2526,-75.19715,2.948992,HUILA,27.42607
2527,-75.195656,2.952069,HUILA,27.251694
2528,-71.615192,6.747469,ARAUCA,22.573671
2529,-74.800153,5.304511,CALDAS,25.160954
2530,-76.662986,1.029329,PUTUMAYO,26.921463
2531,-74.594711,5.717998,CUNDINAMARCA,24.514038
2532,-76.119417,8.199511,CÓRDOBA,21.778122
2533,-74.837311,4.580606,TOLIMA,24.682037
2534,-75.810064,1.273708,CAQUETÁ,31.459045
2535,-73.439792,7.153758,SANTANDER,19.767792
2536,-72.452225,8.224717,NORTE DE SANTANDER,24.096254
2537,-72.442061,8.216519,NORTE DE SANTANDER,23.781311
2538,-72.456958,8.196506,NORTE DE SANTANDER,23.791145
2539,-72.477022,8.165128,NORTE DE SANTANDER,23.712276
2540,-72.446053,8.218414,NORTE DE SANTANDER,23.93332
2541,-72.449764,8.202964,NORTE DE SANTANDER,23.742718
2542,-72.444719,8.231944,NORTE DE SANTANDER,23.943064
2543,-72.457831,8.186675,NORTE DE SANTANDER,23.797052
2544,-72.443075,8.207592,NORTE DE SANTANDER,23.78603
2545,-72.443869,8.212286,NORTE DE SANTANDER,23.770811
2546,-72.447939,8.214308,NORTE DE SANTANDER,23.744284
2547,-72.44745,8.224342,NORTE DE SANTANDER,23.913824
2548,-72.451664,8.195844,NORTE DE SANTANDER,23.840734
2549,-72.452292,8.219058,NORTE DE SANTANDER,24.095491
2550,-72.445564,8.204025,NORTE DE SANTANDER,23.750221
2551,-72.461772,8.189419,NORTE DE SANTANDER,23.797028
2552,-72.44165,8.221767,NORTE DE SANTANDER,23.949364
2553,-72.439661,8.229481,NORTE DE SANTANDER,23.979174
2554,-72.436042,8.216083,NORTE DE SANTANDER,23.819948
2555,-72.457783,8.206064,NORTE DE SANTANDER,23.848648
2556,-72.439047,8.210392,NORTE DE SANTANDER,23.803696
2557,-72.452814,8.201083,NORTE DE SANTANDER,23.895153
2558,-72.462514,8.198767,NORTE DE SANTANDER,23.801598
2559,-72.449383,8.224917,NORTE DE SANTANDER,23.903399
2560,-72.446903,8.219142,NORTE DE SANTANDER,23.915466
2561,-72.461414,8.202342,NORTE DE SANTANDER,23.862165
2562,-72.441967,8.233086,NORTE DE SANTANDER,23.961468
2563,-72.454661,8.193133,NORTE DE SANTANDER,23.807137
2564,-72.462294,8.1841,NORTE DE SANTANDER,23.80828
2565,-72.453886,8.193336,NORTE DE SANTANDER,23.819637
2566,-72.446942,8.199075,NORTE DE SANTANDER,23.75769
2567,-72.844469,11.582489,LA GUAJIRA,19.119732
2568,-72.849228,11.572242,LA GUAJIRA,18.950077
2569,-74.061931,10.280947,MAGDALENA,19.926823
2570,-74.061839,10.280947,MAGDALENA,19.927248
2571,-72.379958,8.119769,NORTE DE SANTANDER,25.213572
2572,-73.451072,7.386706,SANTANDER,19.828037
2573,-75.027738,4.035354,TOLIMA,23.372253
2574,-74.876572,4.109522,TOLIMA,22.337452
2575,-75.029814,4.100475,TOLIMA,23.62841
2576,-75.014144,4.123022,TOLIMA,23.694958
2577,-74.997469,4.164717,TOLIMA,24.241268
2578,-73.633556,3.310033,META,27.603909
2579,-73.681728,2.991858,META,27.356792
2580,-73.745303,3.111303,META,27.294964
2581,-73.887467,3.302239,META,26.858482
2582,-74.114403,7.024283,ANTIOQUIA,22.273434
2583,-73.430578,7.368089,SANTANDER,19.801376
2584,-73.464172,7.385003,SANTANDER,19.538006
2585,-74.856058,4.683894,TOLIMA,24.740864
2586,-75.462108,9.173769,CÓRDOBA,22.649855
2587,-77.048911,0.530992,PUTUMAYO,27.27651
2588,-77.040719,0.532969,PUTUMAYO,27.219181
2589,-77.038397,0.541806,PUTUMAYO,27.223759
2590,-77.043147,0.538544,PUTUMAYO,27.203758
2591,-72.4328,8.0788,NORTE DE SANTANDER,25.100334
2592,-72.435297,8.075198,NORTE DE SANTANDER,23.808796
2593,-75.380831,3.093086,HUILA,27.404287
2594,-75.374894,3.086819,HUILA,26.414215
2595,-75.402597,3.033525,HUILA,27.094238
2596,-75.375575,3.052947,HUILA,27.450165
2597,-75.402106,3.078136,HUILA,27.0312
2598,-75.387806,3.071217,HUILA,26.950611
2599,-75.387742,3.071267,HUILA,26.942612
2600,-75.394403,3.070861,HUILA,26.92368
2601,-75.394097,3.063779,HUILA,26.92614
2602,-75.39908,3.049248,HUILA,26.892765
2603,-75.390417,3.060149,HUILA,26.850483
2604,-75.394354,3.035959,HUILA,26.445814
2605,-75.390465,3.067538,HUILA,26.926853
2606,-75.383014,3.046037,HUILA,27.282349
2607,-75.386377,3.042673,HUILA,26.807364
2608,-75.402125,3.070575,HUILA,27.120934
2609,-75.388369,3.056481,HUILA,26.854893
2610,-75.39027,3.0601,HUILA,26.857998
2611,-75.383755,3.053666,HUILA,26.927292
2612,-75.401331,3.0476,HUILA,27.44574
2613,-75.39047,3.067246,HUILA,26.95055
2614,-75.39907,3.049144,HUILA,26.885427
