DEPART;Latitude;Longitude;Elevation (m);Surface Temperature (C);Moho Depth (m);Magnetic Anomaly (nT);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Right-lateral Fault;Normal Fault;Active Fault;Curie Depth (Km);Vertical Gravity Gradient (E);Free Air Anomaly (mGal);Bouguer Anomaly (mGal);Apparent Geothermal Gradient (C/Km)
CASANARE;5.2569938;-71.3812239;142.9512;27.485244;36529.33474;31.285;110765.0462;150715.3913;87218.91837;216181.6049;135228.8422;35922.3708;48721.97012;32;-6.40625;-48.100006;-63.56703597;33.85557861
ANTIOQUIA;8.873997;-76.403694;15.5448;28.122276;29269.61699;-3.8006;7686.973982;5938.957762;6826.504016;170267.6238;2088.931259;327083.5822;49251.88917;18;10.9375;12.475006;12.05440611;23.75826566
CESAR;8.106681;-73.562017;107.8992;27.660504;37535.98017;24.8071;16185.04125;29930.71989;21703.53098;83868.14865;32141.4141;141334.2602;19393.88466;32;-56.46875;-79.45001;-87.92833555;19.73665869
SANTANDER;6.488983;-74.386503;109.1184;27.654408;37381.22144;30.4576;14192.8542;29553.14733;24541.55994;51864.36327;27433.74253;62024.20619;8908.668695;34;-13.59375;-51.149994;-69.5174825;43.72306876
SANTANDER;6.489619;-74.386732;110.0328;27.649836;37378.85566;30.4576;14119.01239;29563.80167;24605.32862;51856.08906;27359.4739;61987.62028;8859.769383;34;-13.59375;-51.149994;-69.5174825;21.51915577
HUILA;3.189553;-75.267731;117.348;27.61326;45106.49817;-1.7549;12409.35807;32786.38337;8524.012299;27302.959;33869.78511;160007.8272;10557.46385;30;-119.9375;-142.275;-186.7933993;26.71072741
CÓRDOBA;8.646641;-75.384139;97.536;27.71232;35682.08045;-11.462;22982.76243;56759.30781;29603.8796;108937.4826;69072.3807;243785.0569;88228.23789;22;-3.75;-18.850006;-34.92477619;23.1796413
CÓRDOBA;8.648055;-75.389889;78.9432;27.805284;35638.35589;-11.462;22410.97246;56423.85526;29046.24797;109582.1267;68457.4122;244300.101;87972.12161;22;-3.75;-18.850006;-34.92477619;17.73583203
CESAR;9.537856;-73.962306;77.724;27.81138;38745.41063;-10.7033;34162.41819;32910.26638;50410.80947;122876.916;56144.33618;290369.2978;28937.26879;24;-17.125;-37.225006;-50.55687408;20.72140112
SANTANDER;6.781392;-73.662531;171.2976;27.343512;43933.34668;13.4174;14736.05216;26616.2108;1657.132181;122401.8057;33897.1246;42037.64183;11858.17828;36;-57.34375;-113.80002;-133.8619484;29.23687119
